x,y
60,91
60,90
60,94
59,91
58,87
60,93
59,90
59,94
58,90
58,94
57,89
57,90
59,95
61,88
60,95
60,87
61,94
60,88
61,86
62,94
56,89
62,92
61,90
62,91
64,91
64,88
61,89
60,92
65,90
63,87
64,92
63,93
66,95
64,93
66,91
61,92
65,93
68,88
58,83
70,92
59,86
70,91
59,84
71,89
57,82
69,89
57,83
68,86
57,84
66,86
57,85
67,87
58,84
67,89
58,85
68,90
59,85
68,92
60,85
72,93
76,92
61,84
75,93
61,83
72,92
72,90
71,92
70,85
68,84
70,83
71,87
70,87
71,86
72,88
66,84
70,81
69,79
64,83
67,78
63,85
67,79
65,85
67,85
66,79
67,83
65,78
64,86
66,82
67,82
68,82
64,82
63,79
63,80
65,81
65,73
63,78
66,70
62,78
66,69
67,69
61,82
69,68
60,80
69,70
65,80
70,70
64,79
63,81
56,80
55,80
54,80
53,80
52,79
52,80
53,81
55,79
70,69
54,78
53,82
56,82
56,71
56,83
58,72
56,81
56,69
55,82
55,70
55,69
56,87
54,70
53,69
56,85
54,71
54,72
56,72
55,87
57,71
55,84
57,72
52,85
58,70
54,84
57,86
57,70
55,86
48,84
51,67
50,67
50,66
73,70
71,70
71,71
72,71
73,71
74,71
73,74
74,70
61,78
60,77
60,76
61,75
61,76
51,66
62,76
61,77
61,79
60,78
59,77
73,66
66,77
74,63
72,66
71,68
65,76
72,65
65,74
75,60
66,74
73,63
67,74
67,50
67,77
74,65
63,77
64,77
64,76
74,66
63,76
69,75
69,76
70,75
71,75
70,76
69,77
69,78
66,62
64,61
65,62
63,59
67,60
73,67
74,68
67,62
69,59
68,71
68,63
71,69
67,64
70,71
67,65
69,73
67,66
68,73
66,66
66,63
69,62
69,60
62,66
67,68
51,69
50,71
63,66
64,67
48,73
64,68
49,70
63,69
52,72
64,69
65,67
51,74
64,66
52,74
63,64
53,71
61,65
52,71
61,72
53,72
54,73
61,70
54,75
60,70
60,68
61,68
52,77
60,71
51,77
59,71
51,79
59,69
53,77
62,73
53,76
63,75
52,75
63,72
52,76
63,71
51,76
62,71
50,75
59,64
45,75
57,77
60,61
59,60
58,77
59,62
61,63
56,77
55,76
61,66
58,66
59,65
60,59
57,78
57,63
57,79
58,63
57,80
57,61
59,80
57,60
57,56
56,61
62,57
56,60
53,53
56,64
55,57
57,64
58,56
58,58
58,65
59,58
57,65
59,53
55,53
58,59
62,58
54,61
61,56
54,60
48,59
52,60
53,59
48,60
52,57
49,60
54,58
55,59
48,58
55,61
46,58
55,63
53,62
44,55
51,61
51,63
47,72
49,62
49,68
49,64
46,71
56,66
45,73
44,68
42,65
51,65
42,64
56,67
33,64
56,68
44,62
55,68
45,62
54,68
46,63
55,67
45,65
55,66
46,66
54,65
45,67
53,65
53,64
102,94
105,94
52,67
103,93
102,93
52,69
104,94
105,92
106,96
103,94
82,99
83,100
84,100
102,95
85,97
102,96
87,96
100,97
84,96
102,98
102,99
100,95
97,97
99,96
84,95
85,96
85,95
103,95
86,95
100,91
105,90
86,96
100,93
98,90
89,111
102,88
87,112
104,89
90,109
89,110
104,87
88,110
100,88
97,88
97,91
88,113
101,93
